[2025-04-03 22:55:28,429: INFO: main: welcome to my log]
[2025-04-03 23:11:52,523: INFO: main: welcome to my log]
[2025-04-03 23:14:11,150: INFO: main: welcome to my log]
[2025-04-03 23:14:23,058: INFO: main: welcome to my log]
[2025-04-03 23:16:47,928: INFO: main: welcome to my log]
[2025-04-07 23:30:09,354: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-04-07 23:30:09,368: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-04-07 23:30:09,377: INFO: comman: created directory at: artifacts]
[2025-04-07 23:30:09,381: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-04-07 23:30:09,388: INFO: 986331348: Downloading data from https://drive.google.com/drive/folders/1MQg2jzglfbpNcwQJGthQCOmCCjYTI9QP?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-07 23:35:48,783: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-04-07 23:35:48,783: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-04-07 23:35:48,792: INFO: comman: created directory at: artifacts]
[2025-04-07 23:35:48,799: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-04-07 23:35:48,799: INFO: 1260829567: Downloading data from https://drive.google.com/drive/folders/1MQg2jzglfbpNcwQJGthQCOmCCjYTI9QP?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-07 23:35:49,581: INFO: 1260829567: Downloaded data from https://drive.google.com/drive/folders/1MQg2jzglfbpNcwQJGthQCOmCCjYTI9QP?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-07 23:37:01,495: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-04-07 23:37:01,500: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-04-07 23:37:01,504: INFO: comman: created directory at: artifacts]
[2025-04-07 23:37:01,508: INFO: comman: created directory at: artifacts/data_ingestion]
